,DTW_Rn_1NN,WDTW_1NN,DDTW_Rn_1NN,WDDTW_1NN,LCSS_1NN_DELTA,LCSS_1NN_EPSILON,MSM_1NN,TWE_1NN_NU,TWE_1NN_LAMBDA,ERP_1NN_G,ERP_1NN_BANDSIZE
Trace,0.04,0,0.04,0,8,0.199636062188513,0.01,0.00001,0,0.554544617190314,0.0555555555555555
TwoLeadECG,0.05,0,0.03,0,4,0.198776681657748,0.01,0.00001,0.022222222,0.198776681657748,0.0555555555555555
TwoPatterns,0.05,0,0.2,0,7,0.730463290374196,0.172,0.00001,0.022222222,0.199217261011144,0.0555555555555555
UWaveGestureLibraryX,0.04,0.11,0.06,0.07,17,0.554673110414608,0.388,0.0005,0.1,0.554673110414608,0.0555555555555555
UWaveGestureLibraryY,0.05,0.16,0.07,0.13,17,0.377177640937058,0.856,0.0005,0.077777778,0.199682280496089,0.0277777777777777
UWaveGestureLibraryZ,0.07,0.05,0.05,0.12,43,0.377177645444338,0.46,0.001,0.1,0.199682282882296,0.0833333333333333
UWaveGestureLibraryAll,0.02,0.05,0.02,0.04,52,0.821787120255282,1.36,1,0,0.19989416438642,0.0555555555555555
Wafer,0.02,0.47,0.02,0.54,4,0.199340999014262,1.72,1,0,0.819512995947523,0.0277777777777777
Wine,0,0,0,0,0,0.199572237686718,0.01,0.00001,0,0.199572237686718,0
WordSynonyms,0.09,0.07,0.12,0.04,22,0.554525804057206,0.568,0.0005,0.077777778,0.199629289460594,0.0555555555555555
Worms,0.07,0.03,0.06,0,50,0.199888849484313,0.424,0.0001,0.055555556,0.377567826803703,0.0555555555555555
WormsTwoClass,0.07,0.02,0.08,0,75,0.466407315463398,0.424,0.0005,0.088888889,0.377567826803703,0.0555555555555555
Yoga,0.07,0.09,0.07,0.06,35,0.199765108347245,0.172,0.0001,0.077777778,0.821256556538677,0.111111111111111
